section,key,value
global,total_customers_spawned,50
global,total_customers_served,50
global,total_normal_customers,40
global,total_disabled_customers,10
global,total_items_processed,741
global,avg_items_per_customer,14.82
global,times.store_stay_min,960
global,times.store_stay_max,4500
global,times.store_stay_avg,2370.0
global,times.queue_wait_min,0
global,times.queue_wait_max,1800
global,times.queue_wait_avg,378.0
global,times.service_time_min,60
global,times.service_time_max,840
global,times.service_time_avg,409.2
global,payment.cash_count,9
global,payment.card_count,41
global,payment.cash_time_avg,40.0
global,payment.card_time_avg,36.58536585365854
global,satisfaction_score,38.25
checkout,1,
checkout.1,customers_served,14
checkout.1,total_items,227
checkout.1,queue_wait.min,0
checkout.1,queue_wait.max,1800
checkout.1,queue_wait.avg,544.2857142857143
checkout.1,service_time.min,60
checkout.1,service_time.max,840
checkout.1,service_time.avg,492.85714285714283
checkout.1,payment.cash_count,3
checkout.1,payment.card_count,11
checkout.1,payment.cash_time_avg,40.0
checkout.1,payment.card_time_avg,49.09090909090909
checkout,2,
checkout.2,customers_served,9
checkout.2,total_items,123
checkout.2,queue_wait.min,0
checkout.2,queue_wait.max,480
checkout.2,queue_wait.avg,140.0
checkout.2,service_time.min,60
checkout.2,service_time.max,600
checkout.2,service_time.avg,420.0
checkout.2,payment.cash_count,1
checkout.2,payment.card_count,8
checkout.2,payment.cash_time_avg,60.0
checkout.2,payment.card_time_avg,37.5
checkout,3,
checkout.3,customers_served,0
checkout.3,total_items,0
checkout.3,queue_wait.min,0.0
checkout.3,queue_wait.max,0.0
checkout.3,queue_wait.avg,0.0
checkout.3,service_time.min,0.0
checkout.3,service_time.max,0.0
checkout.3,service_time.avg,0.0
checkout.3,payment.cash_count,0
checkout.3,payment.card_count,0
checkout.3,payment.cash_time_avg,0.0
checkout.3,payment.card_time_avg,0.0
checkout,4,
checkout.4,customers_served,0
checkout.4,total_items,0
checkout.4,queue_wait.min,0.0
checkout.4,queue_wait.max,0.0
checkout.4,queue_wait.avg,0.0
checkout.4,service_time.min,0.0
checkout.4,service_time.max,0.0
checkout.4,service_time.avg,0.0
checkout.4,payment.cash_count,0
checkout.4,payment.card_count,0
checkout.4,payment.cash_time_avg,0.0
checkout.4,payment.card_time_avg,0.0
checkout,5,
checkout.5,customers_served,0
checkout.5,total_items,0
checkout.5,queue_wait.min,0.0
checkout.5,queue_wait.max,0.0
checkout.5,queue_wait.avg,0.0
checkout.5,service_time.min,0.0
checkout.5,service_time.max,0.0
checkout.5,service_time.avg,0.0
checkout.5,payment.cash_count,0
checkout.5,payment.card_count,0
checkout.5,payment.cash_time_avg,0.0
checkout.5,payment.card_time_avg,0.0
checkout,6,
checkout.6,customers_served,0
checkout.6,total_items,0
checkout.6,queue_wait.min,0.0
checkout.6,queue_wait.max,0.0
checkout.6,queue_wait.avg,0.0
checkout.6,service_time.min,0.0
checkout.6,service_time.max,0.0
checkout.6,service_time.avg,0.0
checkout.6,payment.cash_count,0
checkout.6,payment.card_count,0
checkout.6,payment.cash_time_avg,0.0
checkout.6,payment.card_time_avg,0.0
checkout,7,
checkout.7,customers_served,11
checkout.7,total_items,152
checkout.7,queue_wait.min,0
checkout.7,queue_wait.max,360
checkout.7,queue_wait.avg,70.9090909090909
checkout.7,service_time.min,60
checkout.7,service_time.max,720
checkout.7,service_time.avg,376.3636363636364
checkout.7,payment.cash_count,2
checkout.7,payment.card_count,9
checkout.7,payment.cash_time_avg,30.0
checkout.7,payment.card_time_avg,20.0
checkout,8,
checkout.8,customers_served,16
checkout.8,total_items,239
checkout.8,queue_wait.min,0
checkout.8,queue_wait.max,1560
checkout.8,queue_wait.avg,577.5
checkout.8,service_time.min,60
checkout.8,service_time.max,780
checkout.8,service_time.avg,352.5
checkout.8,payment.cash_count,3
checkout.8,payment.card_count,13
checkout.8,payment.cash_time_avg,40.0
checkout.8,payment.card_time_avg,36.92307692307692
